sku,description
402-White-XL,"Crew Neck, Long Sleeve, White, XL"
402-White-XS,"Crew Neck, Long Sleeve, White, XS"
501-Black-L,"Tank Scoop Neck, Black, L"
501-Black-M,"Tank Scoop Neck, Black, M"
501-Black-S,"Tank Scoop Neck, Black, S"
501-Black-XL,"Tank Scoop Neck, Black, XL"
501-Black-XS,"Tank Scoop Neck, Black, XS"
501-Bluestone-L,"Tank Scoop Neck, Bluestone, L"
501-Bluestone-M,"Tank Scoop Neck, Bluestone, M"
501-Bluestone-S,"Tank Scoop Neck, Bluestone, S"
501-Bluestone-XL,"Tank Scoop Neck, Bluestone, XL"
501-Bluestone-XS,"Tank Scoop Neck, Bluestone, XS"
501-ChiliPepperRed-L,"Tank Modest Scoop, Chili Pepper Red, L"
501-ChiliPepperRed-M,"Tank Modest Scoop, Chili Pepper Red, M"
501-ChiliPepperRed-S,"Tank Modest Scoop, Chili Pepper Red, S"
501-ChiliPepperRed-XL,"Tank Modest Scoop, Chili Pepper Red, XL"
501-ChiliPepperRed-XS,"Tank Modest Scoop, Chili Pepper Red, XS"
501-FuchsiaPurple-L,"Tank Scoop Neck, Fuchsia Purple, L"
501-FuchsiaPurple-M,"Tank Scoop Neck, Fuchsia Purple, M"
501-FuchsiaPurple-S,"Tank Scoop Neck, Fuchsia Purple, S"
501-FuchsiaPurple-XL,"Tank Scoop Neck, Fuchsia Purple, XL"
501-FuchsiaPurple-XS,"Tank Scoop Neck, Fuchsia Purple, XS"
501-Ivory-L,"Tank Scoop Neck, Ivory, L"
501-Ivory-M,"Tank Scoop Neck, Ivory, M"
501-Ivory-S,"Tank Scoop Neck, Ivory, S"
501-Ivory-XL,"Tank Scoop Neck, Ivory, XL"
501-Ivory-XS,"Tank Scoop Neck, Ivory, XS"
501-Natural-XS,"Tank Modest Scoop, Natural, XS"
501-Navy-L,"Tank Scoop Neck, Navy, L"
501-Navy-M,"Tank Scoop Neck, Navy, M"
501-Navy-S,"Tank Scoop Neck, Navy, S"
501-Navy-XL,"Tank Scoop Neck, Navy, XL"
501-Navy-XS,"Tank Scoop Neck, Navy, XS"
501-SlateGray-L,"Tank Scoop Neck, Slate Gray, L"
501-SlateGray-M,"Tank Scoop Neck, Slate Gray, M"
501-SlateGray-S,"Tank Scoop Neck, Slate Gray, S"
501-SlateGray-XL,"Tank Scoop Neck, Slate Gray, XL"
501-SlateGray-XS,"Tank Scoop Neck, Slate Gray, XS"
501-White-L,"Tank Scoop Neck, White, L"
501-White-M,"Tank Scoop Neck, White, M"
501-White-S,"Tank Scoop Neck, White, S"
501-White-XL,"Tank Scoop Neck, White, XL"
501-White-XS,"Tank Scoop Neck, White, XS"
601-Black-L,"Camisole, Black, L"
601-Black-M,"Camisole, Black, M"
601-Black-S,"Camisole, Black, S"
601-Black-XL,"Camisole, Black, XL"
601-Black-XS,"Camisole, Black, XS"
601-Natural-L,"Camisole, Natural, L"
601-Natural-XL,"Camisole, Natural, XL"
601-White-L,"Camisole, White, L"
601-White-M,"Camisole, White, M"
601-White-S,"Camisole, White, S"
601-White-XL,"Camisole, White, XL"
601-White-XS,"Camisole, White, XS"
7.62 New Tax,Denver Metro
701-Black-L,"Mock Elbow, Black, L"
701-Black-M,"Mock Elbow, Black, M"
701-Black-S,"Mock Elbow, Black, S"
701-Black-XL,"Mock Elbow, Black, XL"
701-Black-XS,"Mock Elbow, Black, XS"
801-Black-L,"Turtleneck Tank, Black, L"
801-Black-M,"Turtleneck Tank, Black, M"
801-Black-S,"Turtleneck Tank, Black, S"
801-Black-XL,"Turtleneck Tank, Black, XL"
801-Black-XS,"Turtleneck Tank, Black, XS"
801-SlateGray-L,"Turtleneck Tank, Slate Gray, L"
801-SlateGray-M,"Turtleneck Tank, Slate Gray, M"
801-SlateGray-S,"Turtleneck Tank, Slate Gray, S"
801-SlateGray-XL,"Turtleneck Tank, Slate Gray, XL"
801-SlateGray-XS,"Turtleneck Tank, Slate Gray, XS"
801-White-L,"Turtleneck Tank, White, L"
801-White-M,"Turtleneck Tank, White, M"
801-White-S,"Turtleneck Tank, White, S"
801-White-XL,"Turtleneck Tank, White, XL"
801-White-XS,"Turtleneck Tank, White, XS"
802-Black-L,"Turtleneck, Black, L"
802-Black-M,"Turtleneck, Black, M"
802-Black-S,"Turtleneck, Black, S"
802-Black-XL,"Turtleneck, Black, XL"
802-Black-XS,"Turtleneck, Black, XS"
802-Bluestone-L,"Turtleneck, Bluestone, L"
802-Bluestone-M,"Turtleneck, Bluestone, M"
802-Bluestone-S,"Turtleneck, Bluestone, S"
802-Bluestone-XL,"Turtleneck, Bluestone, XL"
802-Bluestone-XS,"Turtleneck, Bluestone, XS"
802-ChiliPepperRed-L,"Turtleneck, Chili Pepper Red, L"
802-ChiliPepperRed-M,"Turtleneck, Chili Pepper Red, M"
802-ChiliPepperRed-S,"Turtleneck, Chili Pepper Red, S"
802-ChiliPepperRed-XL,"Turtleneck, Chili Pepper Red, XL"
802-ChiliPepperRed-XS,"Turtleneck, Chili Pepper Red, XS"
802-FuchsiaPurple-L,"Turtleneck, Fuchsia Purple, L"
802-FuchsiaPurple-M,"Turtleneck, Fuchsia Purple, M"
802-FuchsiaPurple-S,"Turtleneck, Fuchsia Purple, S"
802-FuchsiaPurple-XL,"Turtleneck, Fuchsia Purple, XL"
802-FuchsiaPurple-XS,"Turtleneck, Fuchsia Purple, XS"
802-Ivory-L,"Turtleneck, Ivory, L"
802-Ivory-M,"Turtleneck, Ivory, M"
802-Ivory-S,"Turtleneck, Ivory, S"
802-Ivory-XL,"Turtleneck, Ivory, XL"
802-Ivory-XS,"Turtleneck, Ivory, XS"
802-Java-XS,"Turtleneck, Java, XS"
802-Navy-L,"Turtleneck, Navy, L"
802-Navy-M,"Turtleneck, Navy, M"
802-Navy-S,"Turtleneck, Navy, S"
802-Navy-XL,"Turtleneck, Navy, XL"
802-Navy-XS,"Turtleneck, Navy, XS"
802-SlateGray-L,"Turtleneck, Slate Gray, L"
802-SlateGray-M,"Turtleneck, Slate Gray, M"
802-SlateGray-S,"Turtleneck, Slate Gray, S"
802-SlateGray-XL,"Turtleneck, Slate Gray, XL"
802-SlateGray-XS,"Turtleneck, Slate Gray, XS"
802-White-L,"Turtleneck, White, L"
802-White-M,"Turtleneck, White, M"
802-White-S,"Turtleneck, White, S"
802-White-XL,"Turtleneck, White, XL"
802-White-XS,"Turtleneck,White, XS"
9001-Black-L,"Men's Crew Neck, Short Sleeve, Black, L"
9001-Black-M,"Men's Crew Neck, Short Sleeve, Black, M"
9001-Black-S,"Men's Crew Neck, Short Sleeve, Black, S"
9001-Black-XL,"Men's Crew Neck, Short Sleeve, Black, XL"
9001-Black-XXL,"Men's Crew Neck, Short Sleeve, Black, XXL"
9001-White-L,"Men's Crew Neck, Short Sleeve, White, L"
9001-White-M,"Men's Crew Neck, Short Sleeve, White, M"
9001-White-S,"Men's Crew Neck, Short Sleeve, White, S"
9001-White-XL,"Men's Crew Neck, Short Sleeve, White, XL"
9001-White-XXL,"Men's Crew Neck, Short Sleeve, White, XXL"
901-Black-L,"Racerback, Black, L"
901-Black-M,"Racerback, Black, M"
901-Black-S,"Racerback, Black, S"
901-Black-XL,"Racerback, Black, XL"
901-Black-XS,"Racerback, Black, XS"
901-Java-XL,"Racerback, Java, XL"
901-Navy-L,"Racerback, Navy, L"
901-Navy-M,"Racerback, Navy, M"
901-Navy-S,"Racerback, Navy, S"
901-Navy-XL,"Racerback, Navy, XL"
901-Navy-XS,"Racerback, Navy, XS"
