boutique_id,boutique_name,street_address,city,state,zip
58,Crossroads Boutique,14 W 2nd St,Greensburg,PA,15601
59,Daisy Clover,"Bary W Hoemann
10830 Kennerly Rd",St.Louis,MO,63128
60,Deborah Kent's,"2120 A South Dale Mabry Highway
Florida",Tampa,FL,33629
61,Dena's Shop on the Corner,123 S Hemlock St.,Cannon Beach,OR,97110
62,Devon's Boutique,92 Second Street,Bandon,OR,97411
63,Diana & Jeffries (Closed),1339 Madison Ave.,New York,NY,10128
64,DIG (Closed),"Van Bolle
89 Partition",St. Saugerties,NY,12477
65,DinEa Boutique,2090 S. Grant St.,Denver,CO,80210
66,Dolce Donna - Closed,"Dolce Donna
175 Sunrock Drive",Folsom,CA,95630
67,EB Barrett- Closed,"EB Barrett
Ellen B. Grad
1875 Palmer Ave.",Larchmont,NY,10538
68,Eccentricity Inc,290 Fillmore St # 5,Denver,CO,80206
69,Elements of Style - Closed,"Elements of Style
258 Pharr Road",Atlanta,GA,30305
70,Eon Studios/Fashion Boutique,825 Paseo Road,Colorado Springs,CO,80907
71,Estilo,234 W. 2nd St.,Austin,TX,78701
72,Everard's Clothing,"1802 Wisconsin Ave, NW",Washington,DC,20007
73,Evey K (Closed),"EveyK
200 N. Quebec St. Bldg 700, ste 111",Denver,CO,80230
74,Excellence,148 Dominican Dr.,San Rafael,CA,94901
75,F. Bianco,43 Highland Ave.,Warwick,RI,02886
76,Faboo Fashion,PO Box 4829,Basalt,CO,81621
77,Fairmont Scottsdale,"Attb: Accounts Payable
7575 East Princess Dr.",Scottsdale,AZ,85255
78,Fine Feathers - Closed,"University Place
201 S. Estes Drive",Chapel Hill,NC,27514
79,Fox's,79 Main St.,Mineola,NY,11501
80,Frances Heffernan,810 Elm Street,Winnetka,IL,60093
81,French Cuff Boutique - Bellaire,4048 Bellaire Blvd,Houston,TX,77025
82,French Cuff Boutique - Woodway,6401 Woodway #127,Houston,TX,77057
83,Freudian Slip,"5th Street Market
248 East 5th St. Ave. Ste 15",Eugene,OR,97401
84,Frock,4 Battery Park Ave.,Asheville,NC,28801
85,Frolic (Closed),"Frolic
Leslie White-Fad
101 W. State St.",Kennett Square,PA,19348
86,Gaby L's Boutique,74924 Country Club Dr.,Palm Desert,CA,92260
87,Gaia,45 Miller St.,Winston-Salem,NC,27104
88,Gaia Couture Closed,"Gaia Couture
921 NW 23rd Ave",Portland,OR,97210
89,Garbarini,3003 E. 3rd Ave.,Denver,CO,80206
90,Georgie Girl - Closed,"Georgie Girl
Now Jax Boutique
Cynthia Harris
239 Chelsea Ct.",Cherry Hill,NJ,08003
91,Get Dressed,2501 Far Hills Avenue,Dayton,OH,45419
92,Giddyup Jane,9670 Clayton Rd.,St. Louis,MO,63124
93,Gitane Freedom of Style,334 State St,Los Altos,CA,94022
94,Glass Boat,3226 W. Cary St.,Richmond,VA,23221
95,Glow,70 West Court Square,Troy,AL,36081
96,Golf Shop of Ft. Collins,4223 South Mason,Fort Collins,CO,80525
97,Grand Duchess,400 W. International Airport Rd.,Anchorage,AK,49518
98,Hampden Clothing,357 King St.,Charleston,SC,29401
99,"Handle with Care, Chicago",1706 North Wells St.,Chicago,IL,60614
100,Harriet's San Francisco,300 Fillmore St.,Denver,CO,80206
101,Haute Chics of Austin,"Laurie Mertens
8132 Amelia Cove",Austin,TX,78750
102,Heidi Says,2426 Fillmore St.,San Francisco,CA,94115
103,Heritage Apparel,"TSG Ski & Golf
565 Mountain Village Blvd.",Telluride,CO,81435
104,High Country Boutique & Gallery,937 Washington St. West,Lewisburg,WV,24901
105,Horse Crazy Tack & Supply,1458 Clayton St.,Salt La,UT,84104
106,Hotel Del Coronado,"Attn:Accounts Payable
1500 Orange Ave.",Coronado,CA,92118
107,Hysteria,"Nina Doherty
3614 Windmoor Ct.",Chantilly,VA,20151
108,I. C. London,4310 Sharon Rd. # T13,Charlotte,NC,28211
109,Ibhana Creations,1079 Seven Locks Road,Rockville,MD,20854
110,In The Country,PO BOX 885,Langley,WA,98260
111,Indigo Chic Boutique,"Lynda M Pisuitelli
124 South Ridge Street",Rye Brook,NY,10573
112,Infatuation - Now Boutique 811,"Infatuation
96 Liberty Ridge Rd.",Totowa,NJ,07512
113,Intimacy Headquarters,3980 Dekalb Technology Parkway #760,Atlanta,GA,30340
114,Intimacy Headquarters:Madison Ave.,3980 Dekalb Technology Parkway #760,Atlanta,GA,30340
115,Intimacy on Madison Ave,"Intimacy Headquarters
3980 Dekalb Technology Parkway #760",Atlanta,GA,30340
116,Inverness Golf Shop,102 N. Roselle Rd.,Inverness,IL,60067
117,J Hampton Clothing,2433 University Blvd,Houston,TX,77005
118,J. Fermi,21 Western Ave.,Petaluma,CA,94952
119,Jets Dream CLOSED,"Jets Dream
212 Main Street
Take name off mailing list",Greenport,NY,11944
120,Joy's Uptown Style,110 SW 7th St.,Dundee,OR,97115
121,Julian Gold Austin,4109 McCullough,San Antonio,TX,78212
122,Julian Gold Corpus Christi,4109 McCullough,San Antonio,TX,78212
123,Julian Gold Midland,4109 McCullough Ave.,San Antonio,TX,78212
124,Julian Gold San Antonio,4109 McCullough,San Antonio,TX,78212
125,Junella's  CLOSED,30 Main St.,Tiburon,CA,94920
126,Kacia,795 F Woodlake Road,Kohler,WI,53044
127,Karina on Canyon,656 Canyon Rd,Santa Fe,NM,87501
128,Kiny Bis - Closed,"Kiny Bis
3222 M St. NW #W203",Washington,DC,20007
129,Kiwi,"Marlene Siegel
119 7th Ave.",Brooklyn,NY,11215
130,Knickers of Hyde Park,2726 Erie Ave.,Cincinnati,OH,45208
131,Koi,"Linda Davis
375 E. Montecito",Sierra Madre,CA,91024
132,La Costa Resort & Spa,"Attn: Accounts Payable
2100 Costa Del Mar Road",Darlsbad,CA,92009
133,La Petite Coquette,51 University Place,New York,NY,10003
134,Lacy Stuff Lingerie,405 S. Hunter,Aspen,CO,81611
135,Lavender and Lace - Closed,"Lavender and Lace
306 Libbie Avenue",Richmond,VA,23226
136,Le Boudoir - Colorado  (Closed),29017 Hotel Way,Evergreen,CO,80439
137,Le Tub (Closed),424 E. Cooper Ave.,Aspen,CO,81611
138,Leavitt's Western Wear (Closed),"Leavitt's Western Wear
PO Box 340",Sisters,OR,97759
139,Leisure & Lace (Closed),"Leisure & Lace
199 New Road, Suite 9",Linwood,NJ,08221
140,Levy's,"3900 Hillsboro Rd., Suite 36",Nashville,TN,37215
141,Lillies of the Field,"Jona Franklin
1 South Main St.",Doylestown,PA,18901
142,Lindisima,190 Bon Air Shopping Center,Greenbrae,CA,94904
143,Lingerie Shoppe,2403 Montevallo Rd.,Birmingham,AL,35223
144,Loehmann's Stores,"Accounts Payable Dept.
2500 Halsey Street",Bonx,NY,10461
145,Lola - Rye NY,80 Purchase Street,Rye,NY,10580
146,Los Gato Co.,17 1/2 North Santa Cruz Ave.,Los Gatos,CA,95030
147,Lounge Nevada,538 W. Plumb Lane Suite C,Reno,NV,89509
148,Luna Boutique (Closed),3490 Sacramento Street,San Francisco,CA,94118
149,M Penner Houston,1180-06 Uptown Park Blvd.,Houston,TX,77056
150,M. Cline Designs,148-C Tupelo Courtyard,Miramar Beach,FL,32550
151,Maggie B,2670 Via De La Valle #A-210,Del Mar,CA,92014
152,Main Paige,542 Main St.,Grand Junction,CO,81501
153,March Boutique,"Lynn Puro
1207 Pleasantville Rd.",Briarcliff Manor,NY,10510
154,Margie's Boutique,2156 Huntington Dr.,San Marino,CA,91108
155,Mariel,3000 E. 3rd Ave. #8,Denver,CO,80206
156,Mary's Boutique,3656 The Barnyard,Carmel,CA,93923
157,Mela,18525 NE Marine Dr.,Portland,OR,97230
158,Merle Norman,368 Merchant St.,Vacaville,CA,95688
159,MidChix Event,Colorado,Denver,CO,00nan
160,Midland Clothing Company,740 E Valley Rd,Basalt,CO,81621
161,Midtown Tennis Club,1760 N. Hicks Rd.,Palantine,IL,60074
162,Mieka -  In Collections,"Mieka
8285 Jericho Tpke",Woodbury,NY,11797
163,Milky Way,PO Box 784,Crested Butte,CO,81224
164,Mimi's,"Mimi's on Union, LLC
2133 Union St.",San Fransisco,CA,94122
165,Mimi's Closet,307 High St,Chestertown,MD,21620
166,Mirabella,1226 Main St.,St. Helena,CA,94574
167,Moda Mi,140 E. Prospect  Ave.,Danville,CA,94526
168,Molly's of Denver - CLOSED,"The Equitable Building
1660 Stout Street",Denver,CO,80202
169,Mooncake,1123 Briarcliff Rd.,Atlanta,GA,30306
170,Muse Boutique,2411 W. Alabama St.,Houston,TX,77098
