customer_id,city,state,zip
1766,Denver,CO,80206
1376,Boulder,CO,80305
1088,Saint Louis,MO,63143
1531,Summerville,SC,29483
1448,Summerville,SC,29483
1601,Hinsdale,IL,60521
1597,Waunakee,WI,53597
1489,Glastonbury,CT,06033
1268,Golden,CO,80401
1578,Minneapolis,MN,55406
259,Lincoln,CA,95648
300,new york,NY,10003
725,San Francisco,CA,94123
531,Wynnewood,PA,19096
726,San Francisco,CA,94121
868,San Jose,CA,95161
552,COLUMBIA,MD,21045
242,Denver,CO,80210
985,Wilbraham,MA,01095
856,New York,NY,10004
1135,Boise,ID,83702
1589,elizabeth,CO,80107
1646,Chevy Chase,MD,20815
1420,Redondo Beach,CA,90277
1419,Oconomowoc,WI,53066
1424,Ross,CA,94957
1422,Denver,CO,80237
1421,Boca Raton,FL,33496
945,Brooklyn,NY,11215
998,Charleston,SC,29407
898,Ruston,WA,98407
1206,Wellesley,MA,02482
1305,Atlanta,GA,30326
521,Golden,CO,80401
840,New York,NY,10025
1124,Neptune,NJ,07753
1755,Denver,CO,80203
1131,Brooklyn,NY,11234
1153,Sherman Oaks,CA,91403
1140,New York,NY,10025
1137,Burbank,CA,91504
1126,Westerville,OH,43082
1118,Chelsea,MI,48118
952,SHERWOOD FOREST,CA,913253435
728,Portland,OR,97229
1277,New York,NY,10026
1296,SF,CA,94127
1567,Chapel Hill,NC,27516
601,Minneapolis,MN,55404
1050,Wellington,FL,33414
1066,Evergreen,CO,80439
1044,Delray Beach,FL,33446
1056,Lenexa,KS,66216
782,Denver,CO,80237
179,Barrington Hills,IL,60010
1239,Shelter island,NY,11964
1527,Denver,CO,80211
1538,Greenwood Village,CO,80111
1716,Livingston,NJ,07039
1669,Orinda,CA,94563
1727,Denver,CO,80207
1667,Menlo Park,CA,94025
1369,Denver,CO,80210
1403,White Plains,NY,10605
1395,Denver,CO,80223
1572,Denver,CO,80223
1576,DENVER,CO,80223
1518,Chicago,IL,60641
1266,Brookline,MA,02446
1428,Boca Raton,FL,33486
1386,Mesa,AZ,85205
1467,Potomac,MD,20854
1620,Los Altos,CA,94024
1224,Canby,OR,97013
1443,Chilmark,Wiltshire,SP3 5BB
719,orlando,FL,32819
1229,Sausalito,CA,94965
1203,San Francisco,CA,94115
1251,Littleton,CO,80120
1709,Pebble Beach,CA,93953
1337,Summerville,SC,29483
702,Tucker,GA,30087
1341,Atlanta,GA,30318
1344,Greensburg,pa,15601
1343,Wilton,CT,06897
921,Columbia,Sc,29223
1340,washington,DC,20016
610,Narberth,PA,19072
999,Pebble Beach,CA,93953
1385,Denver,CO,80220
529,Los Gatos,CA,95032
972,Jamaica Plain,MA,02130
1333,San Diego,CA,92101
639,Atlanta,GA,30342
1352,Santa Rosa,CA,95409
419,San Francisco,CA,94127
1455,Park city,UT,84098
1615,Aurora,CO,80012
1314,Denver,CO,80224
239,Brighton,CO,80602
742,San Francisco,CA,94118
692,San Francisco,CA,94121
1586,Arden,NC,28704
1788,Omak,WA,98841
1105,Scottsdale,AZ,85251
1789,Nashville,TN,37204
177,CASCADE,ID,83611
1785,Los Angeles,CA,90045
1559,Buffalo Grove,IL,60089
1554,Bend,OR,97702
783,Kennett Square,PA,19348
1551,Flanders,NJ,07836
1189,Cramerton,NC,28032
1549,CHILMARK,MA,02535
1638,Foster City,CA,94404
561,Beverly,MA,01915
1484,Lake Geneva,WI,53147
1154,Houston,TX,77056
845,Knoxville,TN,37919
1406,PIEDMONT,CA,94611
1186,aurora,CO,80016
853,Houston,TX,77024
991,lexington,MA,02421
1083,HERMON,ME,04401
880,Bridgehampton,NY,11932
939,Hillsborough,CA,94010
989,Denver,CO,80209
835,Brooklyn,NY,11215
908,Mamaroneck,NY,10543
937,Denver,CO,80220
910,New York,NY,10018
884,towaco,NJ,07082
919,Briarcliff Manor,NY,10510
